slug,concurrency,tpot_ms
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,281.212
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,293.613
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,298.604
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,276.776
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,268.095
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,277.871
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,258.597
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,244.869
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,230.835
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,207.659
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,199.443
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,197.123
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,197.124
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,190.674
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,183.742
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,167.441
qwen3-8-27b-q4-k-m-llama-q4kv-c8,8,141.825
qwen3-8-27b-q4-k-m-llama-c8,8,158.778
qwen3-8-27b-q4-k-m-llama-c8,8,170.778
qwen3-8-27b-q4-k-m-llama-c8,8,182.074
qwen3-8-27b-q4-k-m-llama-c8,8,200.544
qwen3-8-27b-q4-k-m-llama-c8,8,179.915
qwen3-8-27b-q4-k-m-llama-c8,8,179.915
qwen3-8-27b-q4-k-m-llama-c8,8,179.917
qwen3-8-27b-q4-k-m-llama-c8,8,179.915
qwen3-8-27b-q4-k-m-llama-c8,8,221.5
qwen3-8-27b-q4-k-m-llama-c8,8,205.704
qwen3-8-27b-q4-k-m-llama-c8,8,204.801
qwen3-8-27b-q4-k-m-llama-c8,8,174.308
qwen3-8-27b-q4-k-m-llama-c8,8,174.309
qwen3-8-27b-q4-k-m-llama-c8,8,174.311
qwen3-8-27b-q4-k-m-llama-c8,8,174.308
qwen3-8-27b-q4-k-m-llama-c8,8,174.311
qwen3-8-27b-q4-k-m-llama-c8,8,206.574
qwen3-8-27b-q4-k-m-llama-c8,8,152.817
qwen3-8-27b-q4-k-m-llama-c8,8,286.508
qwen3-8-27b-q4-k-m-llama-c8,8,327.411
qwen3-8-27b-q4-k-m-llama-c8,8,338.361
qwen3-8-27b-q4-k-m-llama-c8,8,305.507
qwen3-8-27b-q4-k-m-llama-c8,8,277.777
qwen3-8-27b-q4-k-m-llama-c8,8,277.78
qwen3-8-27b-q4-k-m-llama-c8,8,277.781
qwen3-8-27b-q4-k-m-llama-c8,8,294.103
qwen3-8-27b-q4-k-m-llama-c8,8,310.955
qwen3-8-27b-q4-k-m-llama-c8,8,290.596
qwen3-8-27b-q4-k-m-llama-c8,8,304.581
qwen3-8-27b-q4-k-m-llama-c8,8,309.384
qwen3-8-27b-q4-k-m-llama-c8,8,287.855
qwen3-8-27b-q4-k-m-llama-c8,8,279.053
qwen3-8-27b-q4-k-m-llama-c8,8,291.79
qwen3-8-27b-q4-k-m-llama-c8,8,270.349
qwen3-8-27b-q4-k-m-llama-c8,8,258.143
qwen3-8-27b-q4-k-m-llama-c8,8,243.256
qwen3-8-27b-q4-k-m-llama-c8,8,206.88
qwen3-8-27b-q4-k-m-llama-c8,8,197.396
qwen3-8-27b-q4-k-m-llama-c8,8,188.898
qwen3-8-27b-q4-k-m-llama-c8,8,188.899
qwen3-8-27b-q4-k-m-llama-c8,8,180.925
qwen3-8-27b-q4-k-m-llama-c8,8,171.784
qwen3-8-27b-q4-k-m-llama-c8,8,157.021
qwen3-8-27b-q4-k-m-llama-c8,8,159.756
qwen3-8-27b-q4-k-m-llama-c8,8,176.56
qwen3-8-27b-q4-k-m-llama-c8,8,189.979
qwen3-8-27b-q4-k-m-llama-c8,8,202.494
qwen3-8-27b-q4-k-m-llama-c8,8,182.753
qwen3-8-27b-q4-k-m-llama-c8,8,182.755
qwen3-8-27b-q4-k-m-llama-c8,8,182.753
qwen3-8-27b-q4-k-m-llama-c8,8,182.75
qwen3-8-27b-q4-k-m-llama-c8,8,226.024
qwen3-8-27b-q4-k-m-llama-c8,8,204.167
qwen3-8-27b-q4-k-m-llama-c8,8,204.537
qwen3-8-27b-q4-k-m-llama-c8,8,175.309
qwen3-8-27b-q4-k-m-llama-c8,8,175.306
qwen3-8-27b-q4-k-m-llama-c8,8,175.299
qwen3-8-27b-q4-k-m-llama-c8,8,175.281
qwen3-8-27b-q4-k-m-llama-c8,8,175.263
qwen3-8-27b-q4-k-m-llama-c8,8,208.474
qwen3-8-27b-q4-k-m-llama-c8,8,152.053
qwen3-8-27b-q4-k-m-llama-c8,8,307.802
qwen3-8-27b-q4-k-m-llama-c8,8,330.583
qwen3-8-27b-q4-k-m-llama-c8,8,336.873
qwen3-8-27b-q4-k-m-llama-c8,8,308.044
qwen3-8-27b-q4-k-m-llama-c8,8,276.928
qwen3-8-27b-q4-k-m-llama-c8,8,276.931
qwen3-8-27b-q4-k-m-llama-c8,8,276.933
qwen3-8-27b-q4-k-m-llama-c8,8,295.683
qwen3-8-27b-q4-k-m-llama-c8,8,310.68
qwen3-8-27b-q4-k-m-llama-c8,8,291.127
qwen3-8-27b-q4-k-m-llama-c8,8,305.228
qwen3-8-27b-q4-k-m-llama-c8,8,318.922
qwen3-8-27b-q4-k-m-llama-c8,8,287.255
qwen3-8-27b-q4-k-m-llama-c8,8,278.238
qwen3-8-27b-q4-k-m-llama-c8,8,290.531
qwen3-8-27b-q4-k-m-llama-c8,8,271.021
qwen3-8-27b-q4-k-m-llama-c8,8,257.757
qwen3-8-27b-q4-k-m-llama-c8,8,243.507
qwen3-8-27b-q4-k-m-llama-c8,8,218.092
qwen3-8-27b-q4-k-m-llama-c8,8,197.565
qwen3-8-27b-q4-k-m-llama-c8,8,160.029
qwen3-8-27b-q4-k-m-llama-c8,8,160.031
qwen3-8-27b-q4-k-m-llama-c8,8,150.444
qwen3-8-27b-q4-k-m-llama-c8,8,141.712
qwen3-8-27b-q4-k-m-llama-c8,8,131.248
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,159.329
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,175.733
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,181.911
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,200.585
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,179.581
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,179.582
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,179.581
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,179.581
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,220.721
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,205.558
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,209.255
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,186.528
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,192.162
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,210.054
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,210.035
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,210.013
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,285.253
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,152.838
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,271.636
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,423.74
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,383.694
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,326.471
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,282.309
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,283.106
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,283.109
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,298.959
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,313.62
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,292.909
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,308.418
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,322.226
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,214.912
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,302.186
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,328.193
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,319.127
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,299.542
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,237.281
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,232.449
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,234.959
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,217.425
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,199.883
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,182.065
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,182.065
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,149.988
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,171.002
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,179.482
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,200.103
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,178.0
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,177.999
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,178.002
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,178.003
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,203.677
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,215.049
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,213.14
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,177.785
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,193.013
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,193.014
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,193.011
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,193.013
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,244.592
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,152.258
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,264.495
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,413.15
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,338.786
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,308.143
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,281.054
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,281.843
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,281.845
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,298.313
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,315.632
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,294.309
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,313.879
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,330.34
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,288.203
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,311.603
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,302.828
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,285.742
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,242.519
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,285.348
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,243.782
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,224.314
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,256.703
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,238.919
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,238.919
qwen3-8-27b-q4-k-m-llama-n-gram-c8,8,225.538
