model_label	started_at	finished_at	status	label	command	result	mem	vram_peak_gb	vram_delta_gb
deepseek-r1-distill-qwen-14b-q4km	2026-07-14 01:05:55 +0800	2026-07-14 01:21:12 +0800	0	deepseek-r1-distill-qwen-14b-q4km-serving-c1	scripts/bench-llamacpp-serving.sh bartowski/DeepSeek-R1-Distill-Qwen-14B-GGUF/DeepSeek-R1-Distill-Qwen-14B-Q4_K_M.gguf 65536 1 1000 900 256 99	RESULT prefill_toks=36.26 decode_toks=21.83 completed=80 errors=0 duration_s=909.9 hit_time_cap=True	MEM mem_gb=9.30 mem_source="system MemAvailable delta (10s sampling)"	44.26	20.12
deepseek-r1-distill-qwen-14b-q4km	2026-07-14 01:21:12 +0800	2026-07-14 01:36:44 +0800	0	deepseek-r1-distill-qwen-14b-q4km-serving-c8	scripts/bench-llamacpp-serving.sh bartowski/DeepSeek-R1-Distill-Qwen-14B-GGUF/DeepSeek-R1-Distill-Qwen-14B-Q4_K_M.gguf 65536 8 1000 900 256 99	RESULT prefill_toks=100.93 decode_toks=84.52 completed=322 errors=0 duration_s=924.1 hit_time_cap=True	MEM mem_gb=8.45 mem_source="system MemAvailable delta (10s sampling)"	44.06	20.07
deepseek-r1-distill-qwen-14b-q4km	2026-07-14 01:36:44 +0800	2026-07-14 01:52:37 +0800	0	deepseek-r1-distill-qwen-14b-q4km-serving-c32	scripts/bench-llamacpp-serving.sh bartowski/DeepSeek-R1-Distill-Qwen-14B-GGUF/DeepSeek-R1-Distill-Qwen-14B-Q4_K_M.gguf 65536 32 1000 900 256 99	RESULT prefill_toks=106.44 decode_toks=139.11 completed=559 errors=11 duration_s=946.4 hit_time_cap=True	MEM mem_gb=9.09 mem_source="system MemAvailable delta (10s sampling)"	44.06	20.06
gemma-4-12b-q4km	2026-07-14 01:52:37 +0800	2026-07-14 01:53:10 +0800	0	gemma-4-12b-q4km-llamabench-pp512-tg128	scripts/bench-llamacpp.sh unsloth/gemma-4-12b-it-GGUF/gemma-4-12b-it-Q4_K_M.gguf 512 128 99	RESULT file=unsloth/gemma-4-12b-it-GGUF/gemma-4-12b-it-Q4_K_M.gguf		30.83	6.83
gemma-4-12b-q4km	2026-07-14 01:53:11 +0800	2026-07-14 02:08:24 +0800	0	gemma-4-12b-q4km-serving-c1	scripts/bench-llamacpp-serving.sh unsloth/gemma-4-12b-it-GGUF/gemma-4-12b-it-Q4_K_M.gguf 65536 1 1000 900 256 99	RESULT prefill_toks=38.97 decode_toks=23.81 completed=85 errors=0 duration_s=908.3 hit_time_cap=True	MEM mem_gb=9.49 mem_source="system MemAvailable delta (10s sampling)"	32.27	8.27
gemma-4-12b-q4km	2026-07-14 02:08:24 +0800	2026-07-14 02:23:56 +0800	0	gemma-4-12b-q4km-serving-c8	scripts/bench-llamacpp-serving.sh unsloth/gemma-4-12b-it-GGUF/gemma-4-12b-it-Q4_K_M.gguf 65536 8 1000 900 256 99	RESULT prefill_toks=97.41 decode_toks=72.32 completed=264 errors=0 duration_s=924.7 hit_time_cap=True	MEM mem_gb=9.30 mem_source="system MemAvailable delta (10s sampling)"	35.50	11.50
gemma-4-12b-q4km	2026-07-14 02:23:56 +0800	2026-07-14 02:39:54 +0800	0	gemma-4-12b-q4km-serving-c32	scripts/bench-llamacpp-serving.sh unsloth/gemma-4-12b-it-GGUF/gemma-4-12b-it-Q4_K_M.gguf 65536 32 1000 900 256 99	RESULT prefill_toks=91.82 decode_toks=119.68 completed=452 errors=10 duration_s=950.4 hit_time_cap=True	MEM mem_gb=10.34 mem_source="system MemAvailable delta (10s sampling)"	46.74	22.74
qwen3p6-27b-q4km	2026-07-14 02:39:54 +0800	2026-07-14 02:41:01 +0800	0	qwen3p6-27b-q4km-llamabench-pp512-tg128	scripts/bench-llamacpp.sh unsloth/Qwen3.6-27B-GGUF/Qwen3.6-27B-Q4_K_M.gguf 512 128 99	RESULT file=unsloth/Qwen3.6-27B-GGUF/Qwen3.6-27B-Q4_K_M.gguf		39.65	15.66
qwen3p6-27b-q4km	2026-07-14 02:41:01 +0800	2026-07-14 02:56:12 +0800	0	qwen3p6-27b-q4km-serving-c1	scripts/bench-llamacpp-serving.sh unsloth/Qwen3.6-27B-GGUF/Qwen3.6-27B-Q4_K_M.gguf 65536 1 1000 900 256 99	RESULT prefill_toks=20.6 decode_toks=10.98 completed=39 errors=0 duration_s=904.6 hit_time_cap=True	MEM mem_gb=9.07 mem_source="system MemAvailable delta (10s sampling)"	43.33	19.33
qwen3p6-27b-q4km	2026-07-14 02:56:12 +0800	2026-07-14 03:11:37 +0800	0	qwen3p6-27b-q4km-serving-c8	scripts/bench-llamacpp-serving.sh unsloth/Qwen3.6-27B-GGUF/Qwen3.6-27B-Q4_K_M.gguf 65536 8 1000 900 256 99	RESULT prefill_toks=40.24 decode_toks=35.75 completed=128 errors=0 duration_s=915.1 hit_time_cap=True	MEM mem_gb=9.29 mem_source="system MemAvailable delta (10s sampling)"	44.35	20.35
qwen3p6-27b-q4km	2026-07-14 03:11:37 +0800	2026-07-14 03:27:24 +0800	0	qwen3p6-27b-q4km-serving-c32	scripts/bench-llamacpp-serving.sh unsloth/Qwen3.6-27B-GGUF/Qwen3.6-27B-Q4_K_M.gguf 65536 32 1000 900 256 99	RESULT prefill_toks=25.06 decode_toks=44.17 completed=162 errors=10 duration_s=936.6 hit_time_cap=True	MEM mem_gb=12.30 mem_source="system MemAvailable delta (10s sampling)"	48.03	24.03
qwen3-coder-30b-a3b-q4km	2026-07-14 03:27:24 +0800	2026-07-14 03:27:47 +0800	0	qwen3-coder-30b-a3b-q4km-llamabench-pp512-tg128	scripts/bench-llamacpp.sh unsloth/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf 512 128 99	RESULT file=unsloth/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf		41.13	17.14
qwen3-coder-30b-a3b-q4km	2026-07-14 03:27:47 +0800	2026-07-14 03:42:55 +0800	0	qwen3-coder-30b-a3b-q4km-serving-c1	scripts/bench-llamacpp-serving.sh unsloth/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf 65536 1 1000 900 256 99	RESULT prefill_toks=102.8 decode_toks=73.67 completed=301 errors=0 duration_s=900.9 hit_time_cap=True	MEM mem_gb=8.96 mem_source="system MemAvailable delta (10s sampling)"	47.26	23.26
qwen3-coder-30b-a3b-q4km	2026-07-14 03:42:55 +0800	2026-07-14 03:58:11 +0800	0	qwen3-coder-30b-a3b-q4km-serving-c8	scripts/bench-llamacpp-serving.sh unsloth/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf 65536 8 1000 900 256 99	RESULT prefill_toks=136.04 decode_toks=130.49 completed=537 errors=0 duration_s=908.3 hit_time_cap=True	MEM mem_gb=8.34 mem_source="system MemAvailable delta (10s sampling)"	47.20	22.06
qwen3-coder-30b-a3b-q4km	2026-07-14 03:58:11 +0800	2026-07-14 04:13:45 +0800	0	qwen3-coder-30b-a3b-q4km-serving-c32	scripts/bench-llamacpp-serving.sh unsloth/Qwen3-Coder-30B-A3B-Instruct-GGUF/Qwen3-Coder-30B-A3B-Instruct-Q4_K_M.gguf 65536 32 1000 900 256 99	RESULT prefill_toks=113.68 decode_toks=133.61 completed=567 errors=11 duration_s=925.3 hit_time_cap=True	MEM mem_gb=9.05 mem_source="system MemAvailable delta (10s sampling)"	47.20	23.20
gemma-4-31b-q4km	2026-07-14 04:13:45 +0800	2026-07-14 04:15:03 +0800	0	gemma-4-31b-q4km-llamabench-pp512-tg128	scripts/bench-llamacpp.sh unsloth/gemma-4-31B-it-GGUF/gemma-4-31B-it-Q4_K_M.gguf 512 128 99	RESULT file=unsloth/gemma-4-31B-it-GGUF/gemma-4-31B-it-Q4_K_M.gguf		42.00	18.00
gemma-4-31b-q4km	2026-07-14 04:15:03 +0800	2026-07-14 04:30:16 +0800	0	gemma-4-31b-q4km-serving-c1	scripts/bench-llamacpp-serving.sh unsloth/gemma-4-31B-it-GGUF/gemma-4-31B-it-Q4_K_M.gguf 65536 1 1000 900 256 99	RESULT prefill_toks=17.33 decode_toks=9.76 completed=35 errors=0 duration_s=905.0 hit_time_cap=True	MEM mem_gb=10.17 mem_source="system MemAvailable delta (10s sampling)"	47.46	23.46
gemma-4-31b-q4km	2026-07-14 04:30:16 +0800	2026-07-14 04:46:00 +0800	0	gemma-4-31b-q4km-serving-c8	scripts/bench-llamacpp-serving.sh unsloth/gemma-4-31B-it-GGUF/gemma-4-31B-it-Q4_K_M.gguf 65536 8 1000 900 256 99	RESULT prefill_toks=40.26 decode_toks=33.18 completed=123 errors=0 duration_s=933.4 hit_time_cap=True	MEM mem_gb=9.48 mem_source="system MemAvailable delta (10s sampling)"	55.61	30.20
gemma-4-31b-q4km	2026-07-14 04:46:00 +0800	2026-07-14 05:02:42 +0800	0	gemma-4-31b-q4km-serving-c32	scripts/bench-llamacpp-serving.sh unsloth/gemma-4-31B-it-GGUF/gemma-4-31B-it-Q4_K_M.gguf 65536 32 1000 900 256 99	RESULT prefill_toks=40.21 decode_toks=49.29 completed=194 errors=10 duration_s=988.9 hit_time_cap=True	MEM mem_gb=10.54 mem_source="system MemAvailable delta (10s sampling)"	83.73	54.86
deepseek-r1-distill-qwen-32b-q4km	2026-07-14 05:02:42 +0800	2026-07-14 05:04:00 +0800	0	deepseek-r1-distill-qwen-32b-q4km-llamabench-pp512-tg128	scripts/bench-llamacpp.sh bartowski/DeepSeek-R1-Distill-Qwen-32B-GGUF/DeepSeek-R1-Distill-Qwen-32B-Q4_K_M.gguf 512 128 99	RESULT file=bartowski/DeepSeek-R1-Distill-Qwen-32B-GGUF/DeepSeek-R1-Distill-Qwen-32B-Q4_K_M.gguf		57.93	0.00
deepseek-r1-distill-qwen-32b-q4km	2026-07-14 05:04:00 +0800	2026-07-14 05:19:09 +0800	0	deepseek-r1-distill-qwen-32b-q4km-serving-c1	scripts/bench-llamacpp-serving.sh bartowski/DeepSeek-R1-Distill-Qwen-32B-GGUF/DeepSeek-R1-Distill-Qwen-32B-Q4_K_M.gguf 65536 1 1000 900 256 99	RESULT prefill_toks=20.24 decode_toks=10.1 completed=38 errors=0 duration_s=900.1 hit_time_cap=True	MEM mem_gb=7.29 mem_source="system MemAvailable delta (10s sampling)"	58.32	34.32
deepseek-r1-distill-qwen-32b-q4km	2026-07-14 05:19:09 +0800	2026-07-14 05:35:42 +0800	0	deepseek-r1-distill-qwen-32b-q4km-serving-c8	scripts/bench-llamacpp-serving.sh bartowski/DeepSeek-R1-Distill-Qwen-32B-GGUF/DeepSeek-R1-Distill-Qwen-32B-Q4_K_M.gguf 65536 8 1000 900 256 99	RESULT prefill_toks=52.95 decode_toks=41.63 completed=170 errors=0 duration_s=981.4 hit_time_cap=True	MEM mem_gb=8.47 mem_source="system MemAvailable delta (10s sampling)"	58.26	21.02
deepseek-r1-distill-qwen-32b-q4km	2026-07-14 05:35:42 +0800	2026-07-14 05:52:47 +0800	0	deepseek-r1-distill-qwen-32b-q4km-serving-c32	scripts/bench-llamacpp-serving.sh bartowski/DeepSeek-R1-Distill-Qwen-32B-GGUF/DeepSeek-R1-Distill-Qwen-32B-Q4_K_M.gguf 65536 32 1000 900 256 99	RESULT prefill_toks=60.98 decode_toks=63.74 completed=268 errors=8 duration_s=1015.4 hit_time_cap=True	MEM mem_gb=9.33 mem_source="system MemAvailable delta (10s sampling)"	58.26	22.07
